Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
326,2.321985960006714,56.1,36.9,3143073792,3126722560,6.98531436920166
328,2.242445945739746,20.9,45.8,3146825728,3184050176,1.4940907955169678
331,2.311873197555542,26.9,44.5,3118596096,3172270080,1.8554797172546387
333,2.729137897491455,28.4,36.0,3021963264,3104473088,14.031174659729004
334,2.898469924926758,12.8,39.4,3091169280,2973401088,14.645272254943848
336,2.2141799926757812,29.9,45.5,2868625408,3164258304,1.6845413446426392
338,2.5510740280151367,25.0,35.8,2978693120,3152592896,11.454336166381836
339,2.371335029602051,23.7,36.5,3148333056,3131539456,11.343551635742188
341,2.116023063659668,18.9,37.3,3169992704,3198763008,1.5407655239105225
343,2.677030086517334,23.1,33.5,3193143296,3171254272,12.244573593139648
344,2.3841331005096436,11.3,35.7,3177365504,3240181760,11.28943920135498
345,2.668225049972534,21.6,35.5,3177660416,3199500288,14.799676895141602
347,2.133633613586426,12.2,35.6,3220078592,3265839104,1.9006861448287964
349,2.4608819484710693,20.2,35.1,3273392128,3252649984,15.40114688873291
350,2.28722882270813,21.0,41.2,3228942336,3208265728,15.524426460266113
351,2.2864019870758057,23.4,36.8,3223699456,3225272320,14.04458236694336
352,2.4035568237304688,23.8,38.1,3246309376,3167682560,8.85276985168457
353,2.290091037750244,14.2,36.6,3229548544,3207168000,18.606292724609375
355,2.105562925338745,26.4,35.3,3227779072,3253993472,1.7629891633987427
357,2.272489309310913,23.8,34.2,3281534976,3156705280,13.43514347076416
358,2.3407931327819824,23.1,33.6,3147087872,3262775296,15.838051795959473
359,2.5608749389648438,15.9,34.6,3283730432,3213557760,15.71451473236084
360,2.347623109817505,19.2,43.8,3244015616,3301736448,18.268173217773438
361,2.3954501152038574,25.5,35.3,3221094400,3308830720,13.344413757324219
362,2.3841159343719482,16.5,35.4,3303571456,3284615168,21.668045043945312
363,2.285551071166992,17.2,39.3,3313582080,3259891712,14.140703201293945
364,2.413188934326172,21.7,34.1,3294576640,3281879040,17.297666549682617
365,2.6427159309387207,21.0,35.9,3277586432,3236397056,21.689960479736328
367,2.196150064468384,18.3,36.1,3254517760,3246604288,2.8633363246917725
369,2.5758509635925293,20.7,35.8,3292856320,3224502272,14.018391609191895
370,2.322782278060913,18.4,35.8,3254960128,3262496768,11.137052536010742
371,2.4625470638275146,26.7,39.2,3308896256,3236888576,16.313583374023438
372,2.2950029373168945,14.7,40.7,3246145536,3226812416,11.929418563842773
